共搜索到词条1432个:
Feigiya Hala	费佳氏 
Erkule Hala	额尔库勒氏 
Ertu Hala	额尔图氏 
Ertute Hala	额尔图特氏 
Elhe Hala	额勒赫氏 
Emteli Hala	额穆特立氏 
Enon Hala	额诺氏 
Esi Hala	额色氏 
Esuri Hala	额苏哩氏 
Eyesu Hala	额宜苏氏 
Eyute Hala	额玉特氏 
Ejete Hala	额扎特氏 
Eje Hala	额哲氏 
Eju Hala	额珠氏 
Ejute Hala	额珠特氏 
Ejuo Hala	额卓氏 
Ecolo Hala	鄂绰罗氏 
Engite Hala	鄂恩济特氏 
Elcuolo Hala	鄂尔绰络氏 
Erde Hala	鄂尔格氏 
Erkete Hala	鄂尔克特氏 
Ercin Hala	鄂尔沁氏 
Erte Hala	鄂尔特氏 
Egiri Hala	鄂济哩氏 
Weji Hala	鄂济氏 
Egite Hala	鄂济特氏 
Elaben Hala	鄂拉本氏 
Elakun Hala	鄂拉坤氏 
Erik Hala	鄂礼克氏 
Erimsu Hala	鄂里木苏氏 
Elo Hala	鄂罗氏 
Emte Hala	鄂密特氏 
Emke Hala	鄂谟克氏 
Emto Hala	鄂谟拖氏 
Emucu Hala	鄂木绰氏 
Eci Hala	鄂秦氏 
Esurhu Hala	鄂苏尔瑚氏 
Esolo Hala	鄂索罗氏 
Etuhun Hala	鄂通氏 
Etu Hala	鄂托氏 
Eye Hala	鄂岳氏 
Fangiya Hala	范佳氏 
Fan Hala	范氏 
Fanggiya Hala	方佳氏 
Fang Hala	方氏 
Fang Hala	方氏 
Fang Hala	房氏 
Hongo Hala	洪鄂氏 
Honggon Hala	洪衮氏 
Honggoci Hala	洪果奇氏 
Honggiri Hala	洪吉哩氏 
Honggiya Hala	洪佳氏 
Honglo Hala	洪骆氏 
Hong Hala	洪氏 
Hong Hala	洪氏 
Hongyiri Hala	洪伊理氏 
Honggolo Hala	鸿果络氏 
Hougiya Hala	侯佳氏 
Houg Hala	侯氏 
Hulegiolo Hala	呼伦觉罗氏 
Hugiya Hala	胡佳氏 
Hu Hala	胡氏 
Huhihar Hala	胡西哈尔氏 
Huhi	胡锡氏 
Hudel Hala	瑚德勒氏 
Huding Hala	瑚鼎氏 
Hurga Hala	瑚尔噶氏 
Hurhanla Hala	瑚尔哈喇氏 
Hurhan Hala	瑚尔哈氏 
Hulhasu Hala	瑚尔哈苏氏 
Hurhan Hala	瑚尔汉氏 
Hurhun Hala	瑚尔浑氏 
Hulgiya Hala	瑚尔佳氏 
Hurkul Hala	瑚尔库尔氏 
Hurlasi Hala	瑚尔拉斯氏 
Hultai Hala	瑚尔泰氏 
Huhu Hala	瑚呼氏 
Her Hala	瑚克锡勒氏 
Hukhile Hala	瑚克锡勒氏 
Hulbasi Hala	瑚拉巴斯氏 
Huru Hala	瑚噜氏 
Huruk Hala	瑚鲁克氏 
Huta Hala	瑚塔氏 
Huturi Hala	瑚图哩氏 
Hutu Hala	瑚图氏 
Huhihari Hala	瑚锡哈理氏 
Huhiga Hala	瑚锡喀氏 
Huhiri Hala	瑚锡哩氏 
Husun Hala	瑚逊氏 
Huyala Hala	瑚雅拉氏 
Huya Hala	瑚雅氏 
Huyuru Hala	瑚玉鲁氏 
Huyaolo Hala	瑚岳罗氏 
Huahihari Hala	华西哈里氏 
Huanggutai Hala	黄古台氏 
Huanggiya Hala	黄佳氏 
Huang Hala	黄氏 
Huang Hala	黄氏 
Hundaci Hala	珲达奇氏 
Hunhe Hala	辉和氏 
Hunlo Hala	辉罗氏 
Huotolo Hala	霍托罗氏 
Gi Hala	姬氏 
Gibucu Hala	吉布褚氏 
Girbis Hala	吉尔必斯氏 
Girgi Hala	吉尔吉氏 
Girgiwark Hala	吉尔吉瓦尔喀氏 
Girmen Hala	吉尔门氏 
Gilate Hala	吉喇特氏 
Giritu Hala	吉礼图氏 
Giru Hala	吉噜氏 
Gigiya Hala	纪佳氏 
Giri Hala	纪里氏 
Gi Hala	纪氏 
Gilala Hala	济拉喇氏 
Gilaminemate Hala	济喇敏鄂玛特氏 
Gilute Hala	济鲁特氏 
Giyagiri Hala	佳吉理氏 
Giyabtala Hala	嘉布塔喇氏 
Giyahama Hala	嘉哈玛氏 
Giyagiya Hala	嘉佳氏 
Giyamhu Hala	嘉穆呼氏 
Giyamhugiolo Hala	嘉穆瑚觉罗氏 
Giyajan Hala	嘉瞻氏 
giagiya Hala	贾佳氏 
gia Hala	贾氏 
Giya Hala	假氏 
Giyanggi Hala	江吉氏 
Giyang Hala	江氏 
Giyang Hala	江氏 
Giyanggiya Hala	姜佳氏 
Giyang Hala	姜氏 
Giyanggiya Hala	蒋佳氏 
Giyang Hala	蒋氏 
giao Hala	焦氏 
Gingiya Hala	金佳氏 
Ginmte Hala	金米特氏 
Gin Hala	金氏 
Gin Hala	金氏 
Gin Hala	晋氏 
Gin Hala	靳氏 
Ginggeri Hala	精格理氏 
Ginggigi Hala	精吉集氏 
Ginggi Hala	精吉氏 
Ging Hala	井氏 
Ginggiya Hala	景佳氏 
Giocan Hala	觉禅氏 
Giorca Hala	觉尔察氏 
Giogiya Hala	觉佳氏 
Giolocan Hala	觉罗禅氏 
Kacute Hala	喀楚特氏 
Kalja Hala	喀尔佳氏 
Karku Hala	喀尔库氏 
Karlaha Hala	喀尔拉哈氏 
Kara Hala	喀尔拉氏 
Karnote Hala	喀尔诺特氏 
Kaksiri Hala	喀克锡理氏 
Gala Hala	喀喇氏 
KaRdasu Hala	喀勒达苏氏 
Kasikateng Hala	喀什喀腾氏 
Kartagil Hala	卡尔他吉尔氏 
Kageyir Hala	卡格依尔氏 
Kailun Hala	凯隆氏 
Kaiyan Hala	恺颜氏 
Kanggin Hala	康锦氏 
Kang Hala	康氏 
Kang Hala	康氏 
Kanghiri Hala	康锡哩氏 
Kanggili Hala	康仪理氏 
Kanggeda Hala	慷杰达氏 
Kerteyir Hala	柯尔特依尔氏 
Keben Hala	科本氏 
Kersun Hala	科尔逊氏 
Kekiri Hala	科奇哩氏 
Kete Hala	科特氏 
Kerde Hala	克尔德氏 
Kelede Hala	克勒德氏 
Kele Hala	克勒氏 
Kerite Hala	克哩特氏 
Kelote Hala	克罗特氏 
Kemcu Hala	克穆楚氏 
Kemcute Hala	克穆楚特氏 
Kemhite Hala	克穆齐特氏 
Keyele Hala	克叶勒氏 
Keykele Hala	克伊克勒氏 
Konggolo Hala	崆果罗氏 
Kongkeri Hala	崆克礼氏 
Kongnila Hala	孔尼喇氏 
Kong Hala	孔氏 
Kode Hala	叩德氏 
Kodai Hala	扣岱氏 
Koken Hala	扣恳氏 
Kubuke Hala	库布克氏 
Kublu Hala	库布鲁氏 
Kubute Hala	库布特氏 
Kumtu Hala	库穆图氏 
Kuyala Hala	库雅拉氏 
Kuwalda Hala	夸尔达氏 
Kuicelik Hala	奎车里克氏 
Kuigiya Hala	奎佳氏 
Kuilong Hala	揆龙氏 
Kundule Hala	琨都勒氏 
Koocoli Hala	阔绰里氏 
Kookituri Hala	阔齐图里氏 
Lakule Hala	拉库勒氏 
Layan Hala	拉颜氏 
Laimo Hala	来默氏 
Laibu Hala	赖布氏 
Lai Hala	赖氏 
Langgiya Hala	郎佳氏 
Lang Hala	郎氏 
Lao Hala	劳氏 
Laogo Hala	老沟氏 
Leli Hala	勒第氏 
Lei Hala	雷氏 
Lengbrci Hala	楞布尔勤氏 
Ligiya Hala	李佳氏 
Li Hala	李氏 
Li Hala	李氏 
Litari Hala	理塔哩氏 
Lianggiya Hala	良佳氏 
Liang Hala	梁氏 
Lingiya Hala	林佳氏 
Lin Hala	林氏 
Lin Hala	林氏 
Lin Hala	刘氏 
Lin Hala	刘氏 
Linggirl Hala	留济理氏 
Lingiya Hala	留佳氏 
Long Hala	龙氏 
Luhoru Hala	卢火如氏 
Lu Hala	卢氏 
Lubri Hala	鲁布哩氏 
Lu Hala	鲁氏 
Luhoru Hala	陆火如氏 
Lu Hala	陆氏 
Liyu Hala	吕氏 
Loca Hala	罗察氏 
Logiya Hala	罗佳氏 
Lo Hala	罗氏 
Loye Hala	罗岳氏 
Maldan Hala	马尔丹氏 
Malgite Hala	马尔吉特氏 
Magite Hala	马吉特氏 
Magiya Hala	马佳氏 
Ma Hala	马氏 
Maltun Hala	玛尔屯氏 
Magus Hala	玛古思氏 
Mahayir Hala	玛哈依尔氏 
Malakul Hala	玛拉库尔氏 
Malayir Hala	玛拉依尔氏 
Malala Hala	玛喇拉氏 
Malanga Hala	玛朗阿氏 
Majak Hala	玛扎克氏 
Manjin Hala	满津氏 
Manja Hala	满扎氏 
Manggenute Hala	莽格努特氏 
Manggo Hala	莽果氏 
Manggico Hala	莽吉绰氏 
Manggiya Hala	莽佳氏 
mengnate Hala	莽那特氏 
Mangnute Hala	莽努特氏 
Maoyi Hala	茂仪氏 
Meiheri Hala	梅赫哩氏 
Meigiya Hala	梅佳氏 
Meiren Hala	梅勒氏 
Meileng Hala	梅楞氏 
Mei Hala	梅氏 
Menggiya Hala	盟佳氏 
Menggro Hala	蒙鄂罗氏 
Monggoso Hala	蒙鄂索氏 
Menggucu Hala	蒙古楚氏 
Menggugi Hala	蒙古尔济氏 
Monggori Hala	蒙古里氏 
Malgite Hala	蒙古氏 
Monggo Hala	蒙果氏 
Menggosi Hala	蒙果资氏 
Menggiya Hala	孟佳氏 
Mengkyiri Hala	孟克宜勒氏 
Meng Hala	孟氏 
Meng Hala	孟氏 
Migiya Hala	米佳氏 
Mija Hala	密札氏 
Min Hala	苗氏 
Miao Hala	闵氏 
Min Hala	闵氏 
Minggan Hala	明安氏 
Molociri Hala	谟勒齐哩氏 
Moto Hala	谟托氏 
Malgite Hala	谟锡勒氏 
Molo Hala	谟岳罗氏 
Lu Hala	莫氏 
Mordaja Hala	墨尔达札氏 
Mordan Hala	墨尔丹氏 
mordi Hala	墨尔迪氏 
Morho Hala	墨尔赫氏 
Morgi Hala	墨尔吉氏 
Morgigite Hala	墨尔济吉特氏 
Morgi Hala	墨尔齐氏 
Morcite Hala	墨尔乞特氏 
Morcin Hala	墨尔秦氏 
Morjel Hala	墨尔哲勒氏 
Mohuri Hala	墨呼哩氏 
Mogiya Hala	墨佳氏 
Mokle Hala	墨克勒氏 
Mokting Hala	墨克廷氏 
Molci Hala	墨勒齐氏 
Mole Hala	墨勒氏 
Morjel Hala	墨勒哲勒氏 
Moneher Hala	默讷赫尔氏 
Mukderi Hala	木克得立氏 
Mu Hala	牧氏 
Muca Hala	穆察氏 
Mudaci Hala	穆达齐氏 
Murca Hala	穆尔察氏 
Muherin Hala	穆和林氏 
Mugiya Hala	穆佳氏 
Muktu Hala	穆克图氏 
Mulde Hala	穆勒德氏 
Mulu Hala	穆鲁氏 
Muci Hala	穆齐氏 
Musen Hala	穆色辰氏 
Mu Hala	穆氏 
Muya Hala	穆雅氏 
Muyan Hala	穆燕氏 
Nahamiguuwata Hala	那哈密瓜塔氏 
Nakta Hala	那克塔氏 
Nalgiya Hala	那勒加氏 
Namudulu Hala	那木都鲁氏 
Namutu Hala	那木图氏 
Nahata Hala	纳哈塔氏 
Nara Hala	纳喇氏 
Nalai Hala	纳赖氏 
Nata Hala	纳塔氏 
Naya Hala	纳雅氏 
Nayi Hala	纳伊氏 
Naiman Hala	奈曼氏 
Naihiri Hala	奈奇里氏 
Naihite Hala	鼐奇特氏 
Nanfulu Hala	南福禄氏 
Nanggiya Hala	囊佳氏 
Nanggiyate Hala	囊嘉特氏 
Nedi Hala	讷迪氏 
Nere Hala	讷勒氏 
Nigele Hala	尼格勒氏 
Niheri Hala	尼赫理氏 
Nigiya Hala	尼佳氏 
Nila Hala	尼拉氏 
Niri Hala	尼里氏 
Nimaca Hala	尼马察氏 
Nimaha Hala	尼玛哈氏 
Nimaci Hala	尼玛奇氏 
Nimanggi Hala	尼满吉氏 
Nikiri Hala	尼奇哩氏 
Nisa Hala	尼沙氏 
Niciri Hala	尼锡哩氏 
Niangniya Hala	尼阳尼雅氏 
Niyngtu Hala	尼音图氏 
Niyote Hala	尼庸特氏 
Nicuhe Hala	尼珠珲氏 
Ninju Hala	尼珠氏 
Ni Hala	倪氏 
Ninggeri Hala	聂格哩氏 
Ninggiya Hala	聂佳氏 
Ning Hala	聂氏 
Ningguta Hala	宁古塔氏 
Ninggiya Hala	宁佳氏 
Ning Hala	宁氏 
Niogiya Hala	牛佳氏 
Nio Hala	牛氏 
Niohele Hala	钮赫勒氏 
Niohe Hala	钮赫氏 
Niohule Hala	钮胡勒氏 
Niohute Hala	钮瑚特氏 
Niohurubu Hala	钮祜禄布氏 
Niohuru Hala	钮祜禄氏 
Nio Hala	钮氏 
Niotu Hala	钮图氏 
Niowanggiyan Hala	钮旺坚氏 
Nioyan Hala	钮颜氏 
Nonggile Hala	农吉勒氏 
Noulte Hala	耨勒特氏 
NonHala	努尔哈拉氏 
Nurhan Hala	努尔汉氏 
Nuru Hala	努鲁氏 
Nolte Hala	诺勒特氏 
Noro Hala	诺罗氏 
Nan Hala	潘氏 
Panggiya Hala	庞佳氏 
Pang Hala	庞氏 
Peigiya Hala	培佳氏 
Pei Hala	裴氏 
Peng Hala	彭氏 
Piaogiya Hala	飘佳氏 
Po Hala	坡氏 
Pogiya Hala	颇佳氏 
Piaogiya Hala	朴佳氏 
Piao Hala	朴氏 
Piao Hala	朴氏 
Pugiya Hala	普佳氏 
Ci Hala	戚氏 
Ci Hala	祁氏 
Cibgio Hala	齐步樵氏 
Cidal Hala	齐达勒氏 
Cirbsu Hala	齐尔博苏氏 
Cigiya Hala	齐佳氏 
Cikten Hala	齐克腾氏 
Cimo Hala	齐墨氏 
Cimsi Hala	齐墨斯氏 
Cimte Hala	齐默特氏 
Cimketu Hala	齐木克图氏 
Cimke Hala	齐穆克氏 
Cipunute Hala	齐普楚特氏 
Cipucite Hala	齐普齐特氏 
Cipucinute Hala	齐普钦努特氏 
Ciyegamte Hala	齐岳噶穆特氏 
Cideri Hala	奇德哩氏 
Cidumu Hala	奇杜穆氏 
Cirgote Hala	奇尔果特氏 
Cilei Hala	奇垒氏 
Cileng Hala	奇楞氏 
Citela Hala	奇塔喇氏 
Ciyala Hala	恰喇氏 
Ciyate Hala	洽特氏 
Ciangiya Hala	钱佳氏 
Cian Hala	钱氏 
Ciyarya Hala	强尔雅氏 
Ciyahiri Hala	强恰理氏 
Ciya Hala	强氏 
Ciaogiya Hala	乔佳氏 
Ciao Hala	乔氏 
Cin Hala	秦氏 
Cingeri Hala	庆格哩氏 
Ciog Hala	邱氏 
Ciogiya Hala	秋佳氏 
Ciog Hala	秋氏 
Ciosuri Hala	秋舒哩氏 
Ciu Hala	曲氏 
Ciugiya Hala	屈佳氏 
Ciu Hala	屈氏 
Ciwangiya Hala	全佳氏 
Iingiya Hala	仁佳氏 
Iin Hala	任氏 
Iing Hala	任氏 
Iing Hala	任氏 
Inde Hala	润德氏 
Samagir Hala	撒玛吉尔氏 
Saca Hala	萨察氏 
Sardu Hala	萨尔都氏 
Saetuke Hala	萨尔图克氏 
Sartu Hala	萨尔图氏 
Sahagiri Hala	萨哈尔察氏 
Sahalgi Hala	萨哈勒济氏 
Sahalian Hala	萨哈连氏 
Sagiala Hala	萨加拉氏 
Sakca Hala	萨克察氏 
Sakda Hala	萨克达氏 
Salatak Hala	萨拉塔克氏 
Salatjo Hala	萨拉特卓氏 
Salatu Hala	萨喇图氏 
Saljute Hala	萨勒珠特氏 
Sarute Hala	萨噜特氏 
Samargi Hala	萨玛尔吉氏 
Samala Hala	萨玛喇氏 
Samhir Hala	萨穆希尔氏 
Saiheri Hala	塞赫理氏 
Saiktu Hala	塞克图氏 
Sailgi Hala	塞楞吉氏 
Saimil Hala	赛密勒氏 
Saiynsartu Hala	赛音萨尔图氏 
Sece Hala	色彻氏 
Selekje Hala	色勒杰氏 
Selri Hala	色勒哩氏 
Semukiri Hala	色穆奇理氏 
Sacahai Hala	沙查海氏 
Sadala Hala	沙达喇氏 
Sala Hala	沙拉氏 
Salatuluteng Hala	沙喇图鲁腾氏 
Sayaote Hala	沙岳特氏 
Sanggiya Hala	商佳氏 
Sang Hala	商氏 
Sang Hala	尚氏 
Seyen Hala	舍颜氏 
Sengiya Hala	申佳氏 
Senmri Hala	申穆哩氏 
Sen Hala	沈氏 
Sen Hala	沈氏 
Senggiya Hala	盛佳氏 
Si Hala	施氏 
Sifuca Hala	石富察氏 
Sigiya Hala	石佳氏 
Siml Hala	石穆鲁氏 
Si Hala	石氏 
Si Hala	时氏 
Siboocan Hala	实宝禅氏 
Si Hala	史氏 
Silu Hala	式勒氏 
So Hala	受氏 
Sumala Hala	书玛哩氏 
Surdu Hala	舒尔都氏 
Sufaca Hala	舒发察氏 
Sugiya Hala	舒佳氏 
Sukduri Hala	舒克都哩氏 
Suru Hala	舒禄氏 
Sumri Hala	舒墨哩氏 
Sumul Hala	舒穆尔氏 
Sumuri Hala	舒穆哩氏 
Sumuru Hala	舒穆禄氏 
Susangiolo Hala	舒善觉罗氏 
Susugiolo Hala	舒舒觉罗氏 
Sunburu Hala	顺布噜氏 
Sigiya Hala	司佳氏 
Sunggi Hala	松吉氏 
Sung Hala	松氏 
hetumbumbi	度H 
ISH	青素缎 
Hacihiyan　　　　　　 哈齐现　　　　　　　 勉力、黾勉　 
Hafun　　　　　　　　 哈梵　　　　　　　　 泰(易卦)　 
Hafungga　　　　　　　哈丰阿　　　　　　　 亨(元亨利贞之亨) 
Haihu　　　　　　　　 哈宜呼　　　　　　　 袅娜多姿　 
Hajilambi　　　　　　 哈季兰比　　　　　　 亲密、亲爱　 
Hajilan　　　　　　　 哈季兰　　　　　　　 亲爱之情　 
HaksabaTugi　　　　　 哈克萨哈东基　　　　 彩霞　 
HalhunEdun　　　　　　哈尔额敦　　　　　　 暖风、熏风　 
HanjaBolgo　　　　　　罕札博勒果　　　　　 忠清廉洁　 
Hiyebele　　　　　　　谢伯乐　　　　　　　 鹞鹰　 
Hiyoosungga　　　　　 豪嵩阿　　　　　　　 至孝之人　 
HocikonIlha　　　　　 和其坤宜尔哈　　　　 姿容俊秀　 
HojonIlha　　　　　　 和准宜尔哈　　　　　 虞美人花　 
Hojo　　　　　　　　　和卓　　　　　　　　 姿容俏丽　 
Hurugan　　　　　　　 呼鲁甘　　　　　　　 玳瑁　 
Huru　　　　　　　　　呼卢　　　　　　　　 高阜，丘陵　 
Hvba　　　　　　　　　呼巴　　　　　　　　 琥珀　 
HojiriIlha　　　　　　和吉里宜尔哈　　　　 美人菊　 
Hvturi　　　　　　　　瑚图里　　　　　　　 福、福祉　 
Hvturingga　　　　　　瑚图玲阿　　　　　　 有福之人　 
Hvwangga　　　　　　　晃阿　　　　　　　　 和睦　 
HvturiImiyarabi　　　 瑚图里宜敏比　　　　 万福齐集　 
HvturiIsimbi　　　　　瑚图里宜琛比　　　　 得福、福至了　 
HvturiFengsenJalafun　瑚图里丰生札喇芬　　 福禄寿　 
YebkenHaha　　　　　　页博肯哈哈　　　　　 好汉子　 
Huwekiyembi　　　　　 瑚渥坤比　　　　　　 发奋、奋兴　 
Hada　　　　　　　　　哈达　　　　　　　　 山峰　 
Haidu　　　　　　　　 海都　　　　　　　　 一边正，一边歪　 
Halhan　　　　　　　　哈尔汉　　　　　　　 犁骅　 
Hari　　　　　　　　　哈礼　　　　　　　　 斜眼　 
Hasiri　　　　　　　　哈席里　　　　　　　 茄花色　 
Hatan　　　　　　　　 哈谭　　　　　　　　 暴躁　 
Hecen　　　　　　　　 赫臣　　　　　　　　 城　 
Hedu　　　　　　　　　赫都　　　　　　　　 疥　 
Hele　　　　　　　　　赫勒　　　　　　　　 哑吧　 
Hethe　　　　　　　　 赫特赫　　　　　　　 饰件、家产　 
Hetu　　　　　　　　　赫图　　　　　　　　 横实　 
Heye　　　　　　　　　赫业　　　　　　　　 眼眵　 
Hida　　　　　　　　　席达　　　　　　　　 蒸蓖、竹帘　 
Hife　　　　　　　　　喜福　　　　　　　　 稗子　 
HifeBaksi　　　　　　 希福巴克什　　　　　 稗子学者　 
Hirgen　　　　　　　　希尔根　　　　　　　 水流痕　 
Hiribu　　　　　　　　西里布　　　　　　　 睡熟、忘了　 
Hohori　　　　　　　　和和礼　　　　　　　 耳门　 
HohoriEfu　　　　　　 何和礼额驸　　　　　 耳门姐夫　 
Hokton　　　　　　　　何克屯　　　　　　　 漂儿(打牲器)暖木(树木)　 
Holo　　　　　　　　　和罗　　　　　　　　 虚假、山谷　 
Homin　　　　　　　　 和敏　　　　　　　　 锄头　 
Hontoho　　　　　　　 浑托和　　　　　　　 管领、一半　 
Horontai　　　　　　　和伦泰　　　　　　　 威　 
Hose　　　　　　　　　霍色　　　　　　　　 盒子　 
Hoto　　　　　　　　　和托　　　　　　　　 秃子、葫芦　 
Huhu　　　　　　　　　胡虎　　　　　　　　 酒曲　 
Huju　　　　　　　　　胡住　　　　　　　　 鞘、槽　 
Hutu　　　　　　　　　胡图　　　　　　　　 鬼、丑人　 
Huba　　　　　　　　　胡巴　　　　　　　　 琥珀　 
Hvban　　　　　　　　 胡班　　　　　　　　 圭、笏　 
Hvlan　　　　　　　　 胡兰　　　　　　　　 烟突　 
Hvri　　　　　　　　　胡里　　　　　　　　 松子　 
Hvse　　　　　　　　　胡塞　　　　　　　　 胡子　 
Hvsi　　　　　　　　　胡锡　　　　　　　　 裹　 
Hvsa　　　　　　　　　胡沙　　　　　　　　 葛　 
Hvwaise　　　　　　　 怀色　　　　　　　　 槐树　 
Hvwa i dolo booi dorgici serguwen	院里比屋里凉快。 
Hergen arame bahanambi	会写字。 
Hvdai ba de genefi jaka be udambi	去市场买东西。 
Haha jui i feksihengge hvdun	男孩跑得快。 
Hvturi dergi mederi i gese	福如东海。 
Hvwaliyasun necin be karmambi	保卫和平。 
Hvturi fengxen jalafun urgun	福禄寿喜。 
Simiyan Hoton oci sara?ara ferguwecuke ba	沈阳是旅游胜地。 
Simiyan Hoton Fe Gurung	沈阳故宫。 
[emteli] 親族のないもの, 
[eniye] 生みの母親 
[erki] 親頼み,勝手な，気ままな 
[ferhe] 手足の親指 
[gucu fali-] 親しく交わる,交友を結ぶ。 
[geo] 牛,驢馬などの牝 
[haji] 熱愛,凶作,親愛な,親密な,親しい 
[hajila-] 親密に暮らす,親交を結ぶ,網で挟んで魚を捕らえる 
[hvwaxan] 僧侶,和尚 彼,彼女, 
[joli-] 質に出す,贖う 
[juru niyaman] 両親,父母 
[nergin de] の際に,の機会に 
[niyaman] 父母,両親,親類,心,心臓,草花の芯 
[sadun] 婚姻,婚戚した先の家,親戚 
[too-] 罵る,貶す,悪口を言う 
[ucuri] 機会,際,折 
[wesihule-] 親を尊ぶ,尊重する 
吏部 土人信服親枝土舍承襲 tusy niyalma akdara sai?a hanci ?n ?n de sirabuki 如土官病故後無子孫可以承襲者則於其同族中親近枝派之 滿文 
吏部 土人信服親枝土舍承襲 tusy niyalma akdara sai?a hanci ?n ?n de sirabuki 如土官病故後無子孫可以承襲者則於其同族中親近枝派之 滿文 
吏部 土人信服親枝土舍承襲 tusy niyalma akdara sai?a hanci ?n ?n de sirabuki 如土官病故後無子孫可以承襲者則於其同族中親近枝派之 滿文 
